Frequency (Hz)	Level (dB)
13953.515625	-89.389130
13996.582031	-89.250656
14039.648438	-89.312653
14082.714844	-89.165970
14125.781250	-89.384064
14168.847656	-89.325562
14211.914062	-89.097588
14254.980469	-89.262756
14298.046875	-89.307159
14341.113281	-88.995193
14384.179688	-89.358215
14427.246094	-88.993622
14470.312500	-89.202202
14513.378906	-88.961517
14556.445312	-89.086197
14599.511719	-88.960182
14642.578125	-89.018890
14685.644531	-88.909256
14728.710938	-88.901741
14771.777344	-88.638695
14814.843750	-88.950714
14857.910156	-88.665642
14900.976562	-88.589951
14944.042969	-88.601486
14987.109375	-88.811508
15030.175781	-88.566200
15073.242188	-88.200943
15116.308594	-88.966179
15159.375000	-87.977730
15202.441406	-88.941391
15245.507812	-88.318901
15288.574219	-88.815018
15331.640625	-88.978600
15374.707031	-88.528107
15417.773438	-88.960358
15460.839844	-88.864082
15503.906250	-88.643402
15546.972656	-88.653793
15590.039062	-89.000618
15633.105469	-88.548531
15676.171875	-88.701813
15719.238281	-88.929581
15762.304688	-88.666809
15805.371094	-88.714462
15848.437500	-89.372749
15891.503906	-88.605858
15934.570312	-88.993378
15977.636719	-88.732368
16020.703125	-89.208740
16063.769531	-88.682076
16106.835938	-88.837852
16149.902344	-88.787552
16192.968750	-88.769836
16236.035156	-88.971375
16279.101562	-88.809357
16322.167969	-88.855438
16365.234375	-89.212120
16408.300781	-88.837364
16451.367188	-88.718994
16494.433594	-88.878914
16537.500000	-88.844879
16580.566406	-88.999290
16623.632812	-88.770988
16666.699219	-88.750519
16709.765625	-89.062447
16752.832031	-88.935509
16795.898438	-88.811104
16838.964844	-88.916718
16882.031250	-88.788734
16925.097656	-88.877533
16968.164062	-88.737701
17011.230469	-89.200012
17054.296875	-88.626328
17097.363281	-89.172813
17140.429688	-88.950523
17183.496094	-88.883873
17226.562500	-88.735886
17269.628906	-89.019676
17312.695312	-88.972473
17355.761719	-89.018478
17398.828125	-88.607872
17441.894531	-89.073242
17484.960938	-89.140823
17528.027344	-88.979660
17571.093750	-89.134964
17614.160156	-89.266129
17657.226562	-88.607132
17700.292969	-89.219688
17743.359375	-89.030182
17786.425781	-89.155792
17829.492188	-88.902382
17872.558594	-89.035179
17915.625000	-89.330482
17958.691406	-88.915474
18001.757812	-88.674194
18044.824219	-88.991608
18087.890625	-88.885513
18130.957031	-88.818626
18174.023438	-89.154152
18217.089844	-89.225853
18260.156250	-88.995911
18303.222656	-88.840080
18346.289062	-89.184944
18389.355469	-88.867661
18432.421875	-89.086700
18475.488281	-89.259727
18518.554688	-88.895576
18561.621094	-89.213394
18604.687500	-89.042435
18647.753906	-88.936043
18690.820312	-89.279213
18733.886719	-88.932098
18776.953125	-89.095657
18820.019531	-89.033989
18863.085938	-89.297035
18906.152344	-89.064491
18949.218750	-89.099731
18992.285156	-88.936600
19035.351562	-89.172134
19078.417969	-89.140198
19121.484375	-88.864143
19164.550781	-88.979416
19207.617188	-89.183228
19250.683594	-89.073593
19293.750000	-89.051346
19336.816406	-88.901459
19379.882812	-89.372765
19422.949219	-88.914948
19466.015625	-88.995415
19509.082031	-88.941612
19552.148438	-88.879814
19595.214844	-89.147789
19638.281250	-88.808311
19681.347656	-89.207817
19724.414062	-89.118263
19767.480469	-89.245300
19810.546875	-89.307304
19853.613281	-89.131516
19896.679688	-89.274727
19939.746094	-89.107025
19982.812500	-89.271431
20025.878906	-88.806946
